year,stat_type,player,value,team
2015,HR,Chris Davis,47.0,Baltimore Orioles
2015,HR,Nelson Cruz,44.0,Seattle Mariners
2015,HR,Josh Donaldson,41.0,Toronto Blue Jays
2015,HR,Mike Trout,41.0,Los Angeles Angels
2015,HR,Jose Bautista,40.0,Toronto Blue Jays
2015,HR,Albert Pujols,40.0,Los Angeles Angels
2015,HR,Edwin Encarnacion,39.0,Toronto Blue Jays
2015,HR,J.D. Martinez,38.0,Detroit Tigers
2015,HR,David Ortiz,37.0,Boston Red Sox
2015,HR,Manny Machado,35.0,Baltimore Orioles
2015,HR,Alex Rodriguez,33.0,New York Yankees
2015,HR,Mark Teixeira,31.0,New York Yankees
2015,HR,José Abreu,30.0,Chicago White Sox
2015,HR,Brian Dozier,28.0,Minnesota Twins
2015,HR,Evan Gattis,27.0,Houston Astros
2015,HR,Adam Jones,27.0,Baltimore Orioles
2015,HR,Kole Calhoun,26.0,Los Angeles Angels
2015,HR,Brian McCann,26.0,New York Yankees
2015,HR,Kyle Seager,26.0,Seattle Mariners
2015,HR,Colby Rasmus,25.0,Houston Astros
2015,HR,Luis Valbuena,25.0,Houston Astros
2015,HR,Chris Carter,24.0,Houston Astros
2015,HR,Prince Fielder,23.0,Texas Rangers
2015,HR,Russell Martin,23.0,Toronto Blue Jays
2015,HR,Mitch Moreland,23.0,Texas Rangers
2015,RBI,Josh Donaldson,123.0,Toronto Blue Jays
2015,RBI,Chris Davis,117.0,Baltimore Orioles
2015,RBI,Jose Bautista,114.0,Toronto Blue Jays
2015,RBI,Edwin Encarnacion,111.0,Toronto Blue Jays
2015,RBI,David Ortiz,108.0,Boston Red Sox
2015,RBI,Kendrys Morales,106.0,Kansas City Royals
2015,RBI,J.D. Martinez,102.0,Detroit Tigers
2015,RBI,José Abreu,101.0,Chicago White Sox
2015,RBI,Prince Fielder,98.0,Texas Rangers
2015,RBI,Albert Pujols,95.0,Los Angeles Angels
2015,RBI,Brian McCann,94.0,New York Yankees
2015,RBI,Nelson Cruz,93.0,Seattle Mariners
2015,RBI,Eric Hosmer,93.0,Kansas City Royals
2015,RBI,Mike Trout,90.0,Los Angeles Angels
2015,RBI,Evan Gattis,88.0,Houston Astros
2015,RBI,Manny Machado,86.0,Baltimore Orioles
2015,RBI,Trevor Plouffe,86.0,Minnesota Twins
2015,RBI,Alex Rodriguez,86.0,New York Yankees
2015,RBI,Mitch Moreland,85.0,Texas Rangers
2015,RBI,Carlos Santana,85.0,Cleveland Indians
2015,RBI,Michael Brantley,84.0,Cleveland Indians
2015,RBI,Adrián Beltré,83.0,Texas Rangers
2015,RBI,Kole Calhoun,83.0,Los Angeles Angels
2015,RBI,Shin-Soo Choo,82.0,Texas Rangers
2015,RBI,Adam Jones,82.0,Baltimore Orioles
2015,SB,Jose Altuve,38.0,Houston Astros
2015,SB,Lorenzo Cain,28.0,Kansas City Royals
2015,SB,Billy Burns,26.0,Oakland Athletics
2015,SB,Jarrod Dyson,26.0,Kansas City Royals
2015,SB,Elvis Andrus,25.0,Texas Rangers
2015,SB,Delino DeShields,25.0,Texas Rangers
2015,SB,Kevin Pillar,25.0,Toronto Blue Jays
2015,SB,Jake Marisnick,24.0,Houston Astros
2015,SB,Anthony Gose,23.0,Detroit Tigers
2015,SB,Mookie Betts,21.0,Boston Red Sox
2015,SB,Jacoby Ellsbury,21.0,New York Yankees
2015,SB,Brett Gardner,20.0,New York Yankees
2015,SB,Manny Machado,20.0,Baltimore Orioles
2015,SB,Rajai Davis,18.0,Detroit Tigers
2015,SB,Adam Eaton,18.0,Chicago White Sox
2015,SB,Kevin Kiermaier,18.0,Tampa Bay Rays
2015,SB,Alcides Escobar,17.0,Kansas City Royals
2015,SB,Alexei Ramirez,17.0,Chicago White Sox
2015,SB,Jose Reyes,16.0,Toronto Blue Jays
2015,SB,George Springer,16.0,Houston Astros
2015,SB,Erick Aybar,15.0,Los Angeles Angels
2015,SB,Michael Brantley,15.0,Cleveland Indians
2015,SB,Austin Jackson,15.0,Seattle Mariners
2015,SB,Carlos Correa,14.0,Houston Astros
2015,SB,Leonys Martin,14.0,Texas Rangers
2016,HR,Mark Trumbo,47.0,Baltimore Orioles
2016,HR,Nelson Cruz,43.0,Seattle Mariners
2016,HR,Khris Davis,42.0,Oakland Athletics
2016,HR,Brian Dozier,42.0,Minnesota Twins
2016,HR,Edwin Encarnacion,42.0,Toronto Blue Jays
2016,HR,Todd Frazier,40.0,Chicago White Sox
2016,HR,Robinson Cano,39.0,Seattle Mariners
2016,HR,Miguel Cabrera,38.0,Detroit Tigers
2016,HR,Chris Davis,38.0,Baltimore Orioles
2016,HR,David Ortiz,38.0,Boston Red Sox
2016,HR,Josh Donaldson,37.0,Toronto Blue Jays
2016,HR,Manny Machado,37.0,Baltimore Orioles
2016,HR,Evan Longoria,36.0,Tampa Bay Rays
2016,HR,Mike Napoli,34.0,Cleveland Indians
2016,HR,Carlos Santana,34.0,Cleveland Indians
2016,HR,Rougned Odor,33.0,Texas Rangers
2016,HR,Adrián Beltré,32.0,Texas Rangers
2016,HR,Evan Gattis,32.0,Houston Astros
2016,HR,Mookie Betts,31.0,Boston Red Sox
2016,HR,Albert Pujols,31.0,Los Angeles Angels
2016,HR,Justin Upton,31.0,Detroit Tigers
2016,HR,Brad Miller,30.0,Tampa Bay Rays
